#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|              /qrng_proc_1e7.bin|  1.78e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.96002037|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.30943747|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.44032528|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.27169041|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.05199103|  PASSED  
        diehard_opso|   0|   2097152|     100|0.64133841|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.98891705|  PASSED  
         diehard_dna|   0|   2097152|     100|0.43605924|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.56553695|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.33800335|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.67544629|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.82608841|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.43080440|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.57860895|  PASSED  
        diehard_sums|   0|       100|     100|0.08837120|  PASSED  
        diehard_runs|   0|    100000|     100|0.47609561|  PASSED  
        diehard_runs|   0|    100000|     100|0.00577775|  PASSED  
       diehard_craps|   0|    200000|     100|0.23959114|  PASSED  
       diehard_craps|   0|    200000|     100|0.61420545|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.88080403|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.71320786|  PASSED  
         sts_monobit|   1|    100000|     100|0.99718373|   WEAK   
            sts_runs|   2|    100000|     100|0.69537065|  PASSED  
          sts_serial|   1|    100000|     100|0.96121113|  PASSED  
          sts_serial|   2|    100000|     100|0.78739856|  PASSED  
          sts_serial|   3|    100000|     100|0.63320821|  PASSED  
          sts_serial|   3|    100000|     100|0.97714584|  PASSED  
          sts_serial|   4|    100000|     100|0.54790699|  PASSED  
          sts_serial|   4|    100000|     100|0.85826769|  PASSED  
          sts_serial|   5|    100000|     100|0.13333879|  PASSED  
          sts_serial|   5|    100000|     100|0.05621739|  PASSED  
          sts_serial|   6|    100000|     100|0.24406525|  PASSED  
          sts_serial|   6|    100000|     100|0.37166969|  PASSED  
          sts_serial|   7|    100000|     100|0.17339505|  PASSED  
          sts_serial|   7|    100000|     100|0.94946698|  PASSED  
          sts_serial|   8|    100000|     100|0.59657751|  PASSED  
          sts_serial|   8|    100000|     100|0.56068967|  PASSED  
          sts_serial|   9|    100000|     100|0.58694659|  PASSED  
          sts_serial|   9|    100000|     100|0.61850560|  PASSED  
          sts_serial|  10|    100000|     100|0.87015074|  PASSED  
          sts_serial|  10|    100000|     100|0.47387493|  PASSED  
          sts_serial|  11|    100000|     100|0.23053756|  PASSED  
          sts_serial|  11|    100000|     100|0.46042259|  PASSED  
          sts_serial|  12|    100000|     100|0.83656013|  PASSED  
          sts_serial|  12|    100000|     100|0.91536907|  PASSED  
